Name,Market Value,P/Q-2 Earnings Date,P/Q-2 % Variance,10 Before,10 Since ,20 Since ,30 Since 
Apple Inc.,"1,216,252.00",10/31/2019,0.0700,0.0187,0.0353,0.0022,0.0200
Microsoft Corporation,"1,208,069.00",10/24/2019,0.1100,-0.0368,0.0049,0.0294,0.0004
"Amazon.com, Inc.","888,591.60",10/25/2019,-0.0800,0.0109,-0.0104,-0.0290,-0.0072
Alphabet Inc. Class A,"836,412.70",10/29/2019,-0.1800,0.0336,0.0099,-0.0043,0.0227
"Facebook, Inc. Class A","485,374.80",10/31/2019,0.1100,-0.0261,-0.0127,0.0286,-0.0469
Berkshire Hathaway Inc. Class B,"474,509.40",11/4/2019,0.1200,0.0064,-0.0088,0.0021,0.0088
Visa Inc. Class A,"377,739.10",10/25/2019,0.0300,-0.0170,-0.0180,-0.0037,0.0098
Johnson & Johnson,"354,035.70",10/15/2019,0.0500,0.0131,-0.0425,-0.0019,0.0279
Walmart Inc.,"323,721.70",11/14/2019,0.0700,0.0081,-0.0283,0.0005,-0.0192
JPMorgan Chase & Co.,"319,416.90",10/15/2019,0.0900,-0.0078,0.0394,0.0025,0.0030
Procter & Gamble Company,"281,690.50",10/22/2019,0.1000,-0.0542,-0.0537,0.0052,0.0271
Mastercard Incorporated Class A,"271,389.40",10/29/2019,0.0700,-0.0265,-0.0087,0.0277,0.0012
UnitedHealth Group Incorporated,"258,049.80",10/15/2019,0.0400,0.0178,0.0429,-0.0074,0.0860
AT&T Inc.,"247,249.30",10/28/2019,0.0100,-0.0358,0.0062,-0.0699,0.0210
Intel Corporation,"232,797.10",10/25/2019,0.1500,-0.0024,0.0077,-0.0179,-0.0281
"Home Depot, Inc.","224,351.20",11/19/2019,0.0000,0.0016,-0.0506,-0.0079,-0.0046
Verizon Communications Inc.,"224,039.70",10/25/2019,0.0100,-0.0118,-0.0412,0.0002,0.0117
Bank of America Corp,"210,881.30",10/16/2019,0.0400,0.0261,0.0288,0.0207,-0.0014
Coca-Cola Company,"208,101.20",10/18/2019,0.0000,-0.0314,-0.0435,-0.0413,0.0210
"Merck & Co., Inc.","194,658.70",10/29/2019,0.2200,-0.0542,-0.0306,0.0218,0.0177
Walt Disney Company,"185,093.60",11/8/2019,0.1300,-0.0053,0.0683,-0.0234,-0.0338
Pfizer Inc.,"181,463.30",10/29/2019,0.2100,0.0022,-0.0515,0.0193,-0.0029
Comcast Corporation Class A,"179,070.80",10/24/2019,0.0700,0.0006,-0.0291,-0.0144,-0.0175
"PepsiCo, Inc.","177,097.50",10/3/2019,0.0400,0.0318,-0.0375,-0.0120,-0.0485
Adobe Inc.,"162,136.40",12/13/2019,0.0100,-0.0153,0.0209,0.0298,0.0229
Exxon Mobil Corporation,"161,331.10",11/1/2019,0.0200,-0.0219,-0.0243,-0.0106,-0.0021
"Cisco Systems, Inc.","159,626.70",11/14/2019,0.0400,0.0026,-0.0065,-0.0098,0.0387
Chevron Corporation,"156,773.30",11/1/2019,0.0500,-0.0067,0.0197,-0.0313,-0.0033
Oracle Corporation,"153,742.60",12/13/2019,0.0200,-0.0077,-0.0451,0.0215,-0.0281
"Netflix, Inc.","147,568.60",10/17/2019,0.4200,0.0322,-0.0338,-0.0128,0.0711
NVIDIA Corporation,"147,394.10",11/15/2019,0.1200,0.0231,0.0253,0.0508,0.0377
Abbott Laboratories,"143,984.30",10/16/2019,0.0000,-0.0175,0.0080,-0.0138,-0.0064
Costco Wholesale Corporation,"133,476.40",12/13/2019,0.0100,-0.0166,-0.0006,-0.0042,0.0353
Eli Lilly and Company,"133,291.00",10/23/2019,0.0500,-0.0116,0.0357,-0.0050,0.0410
"salesforce.com, inc.","132,263.10",12/4/2019,0.1300,0.0005,0.0062,0.0202,0.0671
McDonald's Corporation,"132,041.00",10/22/2019,-0.0400,-0.0333,-0.0624,-0.0094,0.0060
PayPal Holdings Inc,"129,201.00",10/24/2019,0.1700,-0.0621,-0.0683,0.0139,0.0026
Wells Fargo & Company,"126,645.50",10/15/2019,-0.2600,-0.0204,0.0266,0.0202,-0.0240
"AbbVie, Inc.","126,275.60",11/1/2019,0.0100,0.0452,0.0657,-0.0176,0.0024
Bristol-Myers Squibb Company,"124,140.50",10/31/2019,0.0900,0.0848,-0.0006,-0.0422,0.1113
Philip Morris International Inc.,"123,695.00",10/17/2019,0.0500,-0.0049,0.0064,0.0065,-0.0239
Thermo Fisher Scientific Inc.,"119,696.30",10/23/2019,0.0200,-0.0030,-0.0320,0.0314,0.0242
Amgen Inc.,"119,200.00",10/30/2019,0.0400,0.0067,0.0254,0.0471,0.0010
Medtronic Plc,"119,033.50",11/19/2019,0.0200,0.0231,0.0093,-0.0095,-0.0081
"NIKE, Inc. Class B","117,705.00",9/25/2019,0.2300,0.0116,0.0402,-0.0317,-0.0548
"NextEra Energy, Inc.","108,335.30",10/22/2019,0.0500,-0.0225,-0.0655,0.0085,0.0084
Citigroup Inc.,"107,092.50",10/15/2019,0.0600,0.0196,0.0118,0.0080,-0.0112
American Tower Corporation,"105,851.50",10/31/2019,0.1800,-0.0405,-0.0493,-0.0048,-0.0166
Accenture Plc Class A,"105,741.10",9/26/2019,0.0100,0.0061,-0.0305,-0.0180,-0.0039
Honeywell International Inc.,"105,675.80",10/17/2019,0.0300,-0.0201,0.0176,0.0196,-0.0215
Union Pacific Corporation,"99,294.10",10/17/2019,-0.0400,0.0384,-0.0027,0.0358,-0.0084
Texas Instruments Incorporated,"99,008.00",10/23/2019,0.0500,-0.0076,-0.0122,-0.0463,0.0348
Danaher Corporation,"98,441.00",10/24/2019,0.0100,-0.0204,-0.0402,0.0578,0.0204
International Business Machines Corporation,"95,903.60",10/17/2019,0.0100,-0.0329,-0.0175,-0.0185,-0.0120
Boeing Company,"95,848.50",10/23/2019,-0.3100,-0.1355,0.0161,0.0353,-0.0720
"Charter Communications, Inc. Class A","95,369.00",10/25/2019,0.0400,-0.0052,-0.0080,-0.0092,-0.0090
Linde plc,"94,067.50",11/12/2019,0.0900,0.0114,-0.0195,0.0014,0.0075
Broadcom Inc.,"93,561.20",12/13/2019,0.0000,0.0242,-0.0181,-0.0367,0.0328
Lockheed Martin Corporation,"92,641.70",10/22/2019,0.1300,-0.0489,-0.0270,0.0300,-0.0144
United Technologies Corporation,"91,203.60",10/22/2019,0.0900,0.0191,0.0187,-0.0124,-0.0244
"Gilead Sciences, Inc.","89,402.30",10/25/2019,0.0100,0.0190,0.0082,-0.0084,0.0162
QUALCOMM Incorporated,"86,654.10",11/7/2019,0.1000,0.0716,-0.0609,-0.0300,0.0414
Starbucks Corporation,"82,065.10",10/31/2019,0.0000,-0.0483,-0.0226,-0.0029,0.0283
3M Company,"81,551.00",10/24/2019,0.0400,0.0881,0.0520,-0.0605,0.0235
"United Parcel Service, Inc. Class B","80,895.30",10/22/2019,0.0100,0.0019,0.0187,-0.0230,-0.0323
American Express Company,"80,480.90",10/18/2019,0.0200,0.0277,-0.0070,-0.0049,-0.0285
"Fidelity National Information Services, Inc.","80,060.20",11/5/2019,0.0600,-0.0078,0.0254,-0.0124,-0.0116
CVS Health Corporation,"77,780.10",11/6/2019,0.0400,-0.0154,0.0443,-0.0099,-0.0336
Altria Group Inc,"74,464.80",10/31/2019,0.0400,0.0371,0.0206,0.0505,-0.0003
"Lowe's Companies, Inc.","73,957.20",11/20/2019,0.0400,-0.0053,-0.0231,0.0116,-0.0074
"T-Mobile US, Inc.","73,173.50",10/29/2019,0.0500,0.0230,-0.0722,-0.0033,-0.0499
"Mondelez International, Inc. Class A","72,965.50",10/30/2019,0.0600,-0.0369,-0.0034,-0.0201,-0.0005
"Fiserv, Inc.","70,232.40",11/7/2019,0.0300,0.0136,0.0336,-0.0112,0.0004
General Electric Company,"68,610.80",10/30/2019,0.2600,0.0058,0.1004,-0.0206,0.0081
