Name,Date Public,Founded,MarketValue,P/Q-1 Earnings Date,P/Q-1 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-2 Earnings Date,P/Q-2 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-3 Earnings Date,P/Q-3 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-4 Earnings Date,P/Q-4 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-5 Earnings Date,P/Q-5 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-6 Earnings Date,P/Q-6 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings
Apple Inc.,11/05/1984,1976,"$1,216,252.00",1/29/2020,0.10,0.01,-0.02,-0.05,0.07,10/31/2019,0.07,0.02,0.04,0.00,0.02,7/31/2019,4%,0.02,0.00,0.00,0.04,5/1/2019,0.04,-0.01,-0.07,-0.04,0.05,1/3/2019,-0.10,-0.02,0.02,0.04,0.00,11/2/2018,0.05,0.04,-0.07,-0.07,-0.01
Microsoft Corporation, 3/13/1986,1975,"$1,208,069.00",1/30/2020,0.15,0.04,0.03,0.00,0.07,10/24/2019,0.11,-0.04,0.00,0.03,0.00,7/19/2019,13%,-0.01,0.02,0.01,0.00,4/25/2019,0.14,0.03,-0.01,0.02,0.02,1/31/2019,0.01,-0.01,0.01,0.03,0.03,10/25/2018,0.18,0.01,-0.01,-0.02,0.04
"Amazon.com, Inc.", 5/15/1997,1994,"$888,591.60",1/31/2020,0.60,0.01,0.01,0.00,-0.09,10/25/2019,-0.08,0.01,-0.01,-0.03,-0.01,7/26/2019,-6%,-0.02,-0.04,-0.01,0.00,4/26/2019,0.51,0.02,-0.01,-0.02,0.00,2/1/2019,0.07,-0.01,-0.04,0.05,0.02,10/26/2018,0.86,0.04,0.00,-0.04,0.05
Alphabet Inc. Class A, 8/19/2004,2015,"$836,412.70",2/4/2020,0.23,0.03,0.03,-0.02,-0.12,10/29/2019,-0.18,0.03,0.01,0.00,0.02,7/26/2019,28%,-0.01,-0.01,-0.01,0.00,4/30/2019,-0.10,0.05,-0.03,0.01,-0.07,2/5/2019,0.18,0.01,-0.05,0.04,0.04,10/26/2018,0.25,0.02,-0.05,0.02,0.02
"Facebook, Inc. Class A", 5/18/2012,2004,"$485,374.80",1/30/2020,0.01,0.02,-0.01,0.02,-0.02,10/31/2019,0.11,-0.03,-0.01,0.03,-0.05,7/25/2019,-52%,0.00,-0.03,-0.04,0.01,4/25/2019,-0.47,0.01,-0.01,-0.03,-0.06,1/31/2019,0.09,-0.02,-0.03,-0.03,0.02,10/31/2018,0.20,-0.03,-0.05,-0.05,0.09
Berkshire Hathaway Inc. Class B, 5/09/1996,1839,"$474,509.40",2/24/2020,-0.24,0.00,0.02,0.02,0.00,11/4/2019,0.12,0.01,-0.01,0.00,0.01,8/5/2019,-2%,0.00,-0.01,0.01,0.01,5/6/2019,-0.02,0.03,-0.02,0.01,-0.02,2/25/2019,0.07,-0.03,0.00,-0.02,-0.01,11/5/2018,0.09,0.00,0.02,-0.04,0.00
Visa Inc. Class A, 3/19/2008,1958,"$377,739.10",1/31/2020,0.00,0.04,0.01,0.00,-0.09,10/25/2019,0.03,-0.02,-0.02,0.00,0.01,7/24/2019,3%,0.01,0.00,0.02,0.00,4/25/2019,0.06,0.01,0.01,0.03,0.03,1/31/2019,0.04,-0.03,0.04,0.02,0.04,10/25/2018,0.01,0.04,-0.01,-0.02,0.03
Johnson & Johnson,11/05/1984,1887,"$354,035.70",1/22/2020,0.01,0.01,0.03,-0.05,0.06,10/15/2019,0.05,0.01,-0.04,0.00,0.03,7/16/2019,5%,-0.06,-0.01,0.04,-0.01,4/16/2019,0.03,-0.03,0.02,-0.01,-0.01,1/22/2019,0.01,-0.03,-0.01,0.01,0.02,10/16/2018,0.01,0.02,0.08,0.01,0.00
Walmart Inc.,11/05/1984,1945,"$323,721.70",2/18/2020,-0.04,-0.02,0.05,0.01,0.00,11/14/2019,0.07,0.01,-0.03,0.00,-0.02,8/15/2019,4%,0.01,-0.02,0.00,0.03,5/16/2019,0.11,0.01,0.04,0.02,0.00,2/19/2019,0.06,0.04,-0.04,0.00,-0.04,10/16/2018,0.06,0.05,0.11,-0.01,-0.06
JPMorgan Chase & Co.,11/05/1984,1968,"$319,416.90",1/14/2020,0.09,-0.03,-0.03,0.00,0.00,10/15/2019,0.09,-0.01,0.04,0.00,0.00,7/16/2019,13%,-0.01,0.00,-0.03,-0.01,4/12/2019,0.13,0.03,0.03,-0.01,-0.01,1/15/2019,-0.10,0.00,0.00,-0.04,0.00,10/12/2018,0.04,0.01,0.01,0.03,0.02
Procter & Gamble Company,11/05/1984,1837,"$281,690.50",1/23/2020,0.04,0.01,0.01,0.00,0.07,10/22/2019,0.10,-0.05,-0.05,0.01,0.03,7/30/2019,5%,0.00,0.00,0.05,-0.04,4/23/2019,0.03,0.02,0.03,0.02,0.02,1/23/2019,0.03,-0.05,0.00,0.00,0.00,10/19/2018,0.03,0.02,0.04,0.04,-0.03
