Symbol,Name,Date Public,Founded,MarketValue,PQ1EarningsDate,PQ1Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-2 Earnings Date,P/Q-2Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-3 Earnings Date,P/Q-3Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-4 Earnings Date,P/Q-4 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-5 Earnings Date,P/Q-5 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-6 Earnings Date,P/Q-6 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings
AAPL,Apple Inc.,11/05/1984,1976,"1,216,252",1/29/2020,10%,0.55%,-2.42%,-4.58%,7.36%,10/31/2019,7%,1.87%,3.53%,0.22%,2.00%,7/31/2019,4%,1.78%,-0.28%,-0.39%,4.25%,5/1/2019,4%,-0.67%,-7.00%,-4.49%,5.11%,1/3/2019,-10%,-1.64%,1.94%,4.14%,-0.36%,11/2/2018,5%,3.92%,-7.40%,-6.54%,-1.47%
MSFT,Microsoft Corporation, 3/13/1986,1975,"1,208,069.0",1/30/2020,15%,3.90%,3.46%,0.29%,7.13%,10/24/2019,11%,-3.68%,0.49%,2.94%,0.04%,7/19/2019,13%,-0.77%,1.74%,0.73%,0.02%,4/25/2019,14%,3.09%,-0.98%,2.12%,2.18%,1/31/2019,1%,-1.47%,0.72%,3.07%,2.69%,10/25/2018,18%,1.05%,-0.67%,-1.62%,4.07%
AMZN,"Amazon.com, Inc.", 5/15/1997,1994,"888,591.6",1/31/2020,60%,0.62%,1.35%,-0.03%,-8.65%,10/25/2019,-8%,1.09%,-1.04%,-2.90%,-0.72%,7/26/2019,-6%,-1.59%,-3.53%,-0.88%,-0.02%,4/26/2019,51%,1.67%,-1.30%,-1.68%,-0.14%,2/1/2019,7%,-1.35%,-3.83%,4.75%,1.66%,10/26/2018,86%,4.42%,-0.45%,-3.96%,5.17%
GOOGL,Alphabet Inc. Class A, 8/19/2004,2015,"836,412.7",2/4/2020,23%,2.57%,2.68%,-1.86%,-12.11%,10/29/2019,-18%,3.36%,0.99%,-0.43%,2.27%,7/26/2019,28%,-0.94%,-1.08%,-0.65%,-0.21%,4/30/2019,-10%,4.73%,-2.57%,1.37%,-7.28%,2/5/2019,18%,1.02%,-4.66%,4.35%,3.76%,10/26/2018,25%,1.95%,-5.31%,1.74%,1.80%
FB,"Facebook, Inc. Class A", 5/18/2012,2004,"485,374.8",1/30/2020,1%,2.16%,-1.14%,2.41%,-2.44%,10/31/2019,11%,-2.61%,-1.27%,2.86%,-4.69%,7/25/2019,-52%,0.00%,-3.13%,-3.84%,1.05%,4/25/2019,-47%,1.10%,-0.54%,-2.55%,-6.11%,1/31/2019,9%,-1.79%,-3.29%,-3.22%,1.96%,10/31/2018,20%,-3.41%,-4.83%,-5.24%,8.81%
BRK.B,Berkshire Hathaway Inc. Class B, 5/09/1996,1839,"474,509.4",2/24/2020,-24%,0.03%,2.06%,1.69%,0.00%,11/4/2019,12%,0.64%,-0.88%,0.21%,0.88%,8/5/2019,-2%,-0.07%,-1.37%,0.52%,1.10%,5/6/2019,-2%,2.72%,-1.86%,0.64%,-2.04%,2/25/2019,7%,-3.24%,0.28%,-1.53%,-0.58%,11/5/2018,9%,0.02%,2.36%,-4.02%,-0.09%
V,Visa Inc. Class A, 3/19/2008,1958,"377,739.1",1/31/2020,0%,4.36%,0.76%,-0.10%,-8.58%,10/25/2019,3%,-1.70%,-1.80%,-0.37%,0.98%,7/24/2019,3%,0.83%,0.10%,1.65%,0.26%,4/25/2019,6%,0.83%,1.09%,2.64%,3.33%,1/31/2019,4%,-2.59%,4.39%,2.21%,3.69%,10/25/2018,1%,3.73%,-0.51%,-2.36%,3.46%
JNJ,Johnson & Johnson,11/05/1984,1887,"354,035.7",1/22/2020,1%,1.22%,3.41%,-4.88%,5.95%,10/15/2019,5%,1.31%,-4.25%,-0.19%,2.79%,7/16/2019,5%,-5.93%,-0.63%,3.73%,-0.89%,4/16/2019,3%,-3.22%,2.28%,-1.24%,-1.39%,1/22/2019,1%,-3.34%,-0.73%,0.67%,2.40%,10/16/2018,1%,1.83%,7.57%,1.19%,0.29%
WMT,Walmart Inc.,11/05/1984,1945,"323,721.7",2/18/2020,-4%,-1.96%,5.22%,1.05%,0.00%,11/14/2019,7%,0.81%,-2.83%,0.05%,-1.92%,8/15/2019,4%,0.76%,-1.55%,0.03%,2.76%,5/16/2019,11%,0.85%,4.45%,2.44%,0.01%,2/19/2019,6%,3.82%,-4.20%,0.32%,-4.18%,10/16/2018,6%,5.33%,11.40%,-1.09%,-6.25%
JPM,JPMorgan Chase & Co.,11/05/1984,1968,"319,416.9",1/14/2020,9%,-2.97%,-3.04%,-0.50%,-0.22%,10/15/2019,9%,-0.78%,3.94%,0.25%,0.30%,7/16/2019,13%,-0.77%,0.09%,-2.69%,-1.35%,4/12/2019,13%,2.81%,3.14%,-1.32%,-0.60%,1/15/2019,-10%,0.35%,-0.09%,-4.03%,-0.11%,10/12/2018,4%,0.79%,0.55%,2.93%,1.87%
