NAME,DATEPUBLIC,MARKETVAL,REVGROWTH,EPS ,CURRENT RATIO,DEBT/EQUITY,UP_DOWN_PQ-10 ,VARIANCE,10DAYSAFTER_EARN ,20DAYSAFTER_EARN,30DAYSAFTER_EARN
Royal Caribbean Cruises Ltd., 4/28/1993,"6,757.0",0.089,0.126,1.6,160,-13.77%,-0.26%,-5.92%,-28.51%,-59.26%
Marathon Petroleum Corporation, 6/23/2011,"16,198.0",,,,,-11.22%,82.86%,9.96%,-18.67%,-52.24%
"Helmerich & Payne, Inc.",11/05/1984,"1,906.5",,,,,-9.71%,59.68%,9.10%,-23.19%,-49.86%
Boeing Company,11/05/1984,"95,848.5",,,,,-4.14%,-276.71%,7.90%,-17.18%,-46.19%
"American Airlines Group, Inc.",12/09/2013,"6,096.9",,,,,0.37%,0.78%,-1.74%,-1.70%,-42.60%
Alliance Data Systems Corporation, 6/08/2001,"2,358.0",,,,,-2.19%,-0.90%,-3.44%,-17.02%,-42.35%
Capri Holdings Limited,12/15/2011,"2,080.7",,,,,-16.12%,4.48%,-13.36%,-19.06%,-40.37%
Hess Corporation,11/05/1984,"10,658.1",,,,,-10.36%,17.74%,1.64%,-6.38%,-40.31%
"Dow, Inc.", 3/20/2019,"19,079.5",,,,,-9.91%,6.90%,-0.58%,-19.91%,-40.15%
SVB Financial Group,10/23/1987,"8,075.9",,,,,2.49%,11.14%,1.78%,-5.40%,-39.10%
Textron Inc.,11/05/1984,"6,629.0",,,,,1.47%,3.83%,4.42%,-16.88%,-38.70%
LyondellBasell Industries NV, 4/28/2010,"15,623.7",,,,,-8.49%,-18.74%,6.09%,-9.78%,-37.14%
ConocoPhillips,11/05/1984,"33,925.9",,,,,-9.05%,-5.23%,4.90%,-16.59%,-36.52%
"United Airlines Holdings, Inc.", 1/26/2006,"10,324.7",,,,,-2.18%,0.81%,-1.79%,-2.37%,-35.44%
Invesco Ltd., 9/08/1993,"4,896.8",,,,,-0.50%,-8.54%,5.39%,-21.42%,-35.27%
"Principal Financial Group, Inc.",10/23/2001,"9,765.2",,,,,-3.93%,1.51%,3.74%,-17.17%,-33.82%
"Alaska Air Group, Inc.",11/05/1984,"4,664.5",,,,,-0.50%,3.34%,-2.02%,-19.19%,-33.76%
"United Rentals, Inc.",12/18/1997,"6,741.8",,,,,-1.35%,8.35%,13.07%,-17.24%,-31.30%
Sysco Corporation,11/05/1984,"23,935.5",,,,,-0.63%,1.83%,0.20%,-10.84%,-31.28%
Halliburton Company,11/05/1984,"6,291.4",,,,,-3.23%,8.42%,-8.83%,2.81%,-30.92%
General Electric Company,11/05/1984,"68,610.8",,,,,-3.22%,21.72%,1.70%,-21.05%,-30.41%
Western Digital Corporation,11/05/1984,"12,501.3",,,,,0.43%,7.38%,5.73%,-13.30%,-30.35%
Exxon Mobil Corporation,11/05/1984,"161,331.1",,,,,-6.22%,-4.25%,-2.37%,-11.16%,-29.25%
"Zimmer Biomet Holdings, Inc.", 7/25/2001,"20,186.3",,,,,-0.58%,1.45%,2.07%,-13.72%,-29.17%
TransDigm Group Incorporated, 3/15/2006,"22,265.5",,,,,2.45%,7.38%,0.00%,-9.95%,-28.18%
Unum Group,11/06/1986,"3,148.1",,,,,-4.09%,1.80%,-0.30%,-28.52%,-27.96%
Phillips 66, 4/12/2012,"23,888.3",,,,,-8.08%,-1.20%,-2.08%,-16.05%,-27.63%
Norfolk Southern Corporation,11/05/1984,"37,867.0",,,,,2.24%,11.85%,-1.82%,-12.63%,-27.56%
"Harley-Davidson, Inc.", 7/08/1986,"3,624.6",,,,,0.00%,-15.26%,1.15%,-7.08%,-27.36%
"Simon Property Group, Inc.",12/14/1993,"31,743.5",,,,,-10.13%,0.21%,-0.20%,-9.87%,-27.31%
Trane Technologies plc,11/05/1984,"24,660.2",,,,,-0.43%,-1.64%,8.41%,-8.98%,-27.30%
